artist,song_id,title,url,lyrics,year,Lyrics_Processed,Sentiment of lyrics,compound_sentiment,negative,neutral,positive,compound,Languages,word_count,word_count_unique,lyrical_density,happy,love,sadness,anger,foul
Iceage,6498216,Shelter Song,https://genius.com/Iceage-shelter-song-lyrics,"11 ContributorsShelter Song Lyrics
My sign is waiting
Rise up until the curve bends over down
They'll entertain you
Alleviate the now into its ground
We crash and then burn
Water’s rising, hypnotizing slowly as we flow
Gravitate to unlearn
Every meaning soon upheaving

So then you keep turning
And you keep turning around
Keep turning 'til it all spins off somehow
Dizzy headed banshee of a phosphene capacity

Come lay here right beside me
They kick you when you're up, they knock you when you’re down
Some shielding from the fighting
They bеat you from the left, they hit you from thе right
Come lay here right beside me
They kick you when you're up, they knock you when you're down

Shifting to a lower substation
To let it swirl in the greater around
We become each other's sedatives
Giving shelter 'til the cloudburst dies down
We crash and then burn
Damn it, I'm short of something to live for
Free me from my thirst
Gravitate to unlearn
Simple abstract, brace for impact
See Iceage LiveGet tickets as low as $86You might also like
So then you keep turning
And you keep turning around
Keep turning 'til it all spins off somehow
Dizzy headed banshee of a phosphene capacity

Come lay here right beside me
They kick you when you're up, they knock you when you’re down
Some shielding from the fighting
They beat you from the left, they hit you from the right
Come lay here right beside me
They kick you when you’re up, they knock you when you're down

Keep turning
And you keep turning around
Keep turning ’til it all spins off somehow
I've been yearning for it all to hit the groundEmbed",2021,sign waiting rise curve bends theyll entertain alleviate ground crash burn water rising hypnotizing slowly flow gravitate unlearn every meaning soon upheaving keep turning keep turning around keep turning til spins somehow dizzy headed banshee phosphene capacity come lay right beside kick youre knock shielding fighting bеat left hit thе right come lay right beside kick youre knock youre shifting lower substation let swirl greater around become others sedatives giving shelter til cloudburst dies crash burn damn im short something live free thirst gravitate unlearn simple abstract brace impact see iceage liveget tickets low might also like keep turning keep turning around keep turning til spins somehow dizzy headed banshee phosphene capacity come lay right beside kick youre knock shielding fighting beat left hit right come lay right beside kick knock youre keep turning keep turning around keep turning til spins somehow ive yearning hit ground,0,negative,0.127,0.786,0.087,-0.6908, en,146,81,55.47945205479452,0,0,0,2,1
Erika de Casier,6508927,Drama,https://genius.com/Erika-de-casier-drama-lyrics,"8 ContributorsDrama Lyrics
(Drama)

I wrote you twice last night
Wish that I could rewind
Take back whatever I said
But I can't do that
Thought it was going so well
Now I don't even know
Said you did this and that
Best that I lay low
I wrote you twice last night
Wish that I could rewind
Take back whatever I said
But I can't do that
Thought it was going so well
Now I don't even know
Said you did this and that
Best that I lay low

I don't mean to cause any drama (Drama)
It's just somehow, it always gets me
Everybody says I'm so reasonable
But when I'm down that road, it's sensational
You might also like
I wrote you twice last night
Wish that I could rewind
Take back whatever I said
But I can't do that
Thought it was going so well
Now I don't even know
Said you did this and that
Best that I lay low

I didn't mean to cause a scene
When I told you you should leave
In front of your friends, so embarrassing
I did my best, I swear I did
Even called you up
To tell you I was wrong
You say I'm always looking for excuses not to get along

But I don't mean to cause any drama
It's just somehow, it always gets me
Everybody says I'm so reasonable
But when I'm down that road, it's sensational

I wrote you twice last night
Wish that I could rewind
Take back whatever I said
But I can't do that
Thought it was going so well
Now I don't even know
Said you did this and that
Best that I lay low
You want drama?
I'll give you a reality show
Night mode camera
Show you more and more
You say it's ridiculous, yeah, baby, I feel ya
But what I gotta do to make you see
It's not always like this? It's not me
Not really

I don't mean to cause any drama
It's just somehow, it always gets me
Everybody says I'm so reasonable
But when I'm down that road, it's sensational

I wrote you twice last night
Wish that I could rewind
Take back whatever I said
But I can't do that
Thought it was going so well
Now I don't even know
Said you did this and that
Best that I lay low2Embed",2021,drama wrote twice last night wish could rewind take back whatever said cant thought going well dont even know said best lay low wrote twice last night wish could rewind take back whatever said cant thought going well dont even know said best lay low dont mean cause drama drama somehow always gets everybody says im reasonable im road sensational might also like wrote twice last night wish could rewind take back whatever said cant thought going well dont even know said best lay low didnt mean cause scene told leave front friends embarrassing best swear even called tell wrong say im always looking excuses get along dont mean cause drama somehow always gets everybody says im reasonable im road sensational wrote twice last night wish could rewind take back whatever said cant thought going well dont even know said best lay low want drama ill give reality show night mode camera show say ridiculous yeah baby feel ya gotta make see always like really dont mean cause drama somehow always gets everybody says im reasonable im road sensational wrote twice last night wish could rewind take back whatever said cant thought going well dont even know said best lay low,1,positive,0.131,0.67,0.199,0.9759, en,201,68,33.83084577114428,1,1,0,0,0
Yves Tumor,6914936,Jackie,https://genius.com/Yves-tumor-jackie-lyrics,"16 ContributorsJackie Lyrics
Hey, little Jackie
When you wake up
Do you think of me?
I said hey, Jackie, baby
When you rest your mind
Do you think of me?

These days have been tragic
I ain't sleeping
Refuse to eat a thing
I can't tell you what happened
I ain't sleeping
I ain't eating

Old flame
We were torn apart right by the sleeve, oh, baby
Old flame
We were torn apart right by the sleeve, oh, baby

I said hey, little Jackie
When you wake up
Do you think of me?
I said hey, Jackie, baby
When you rest your mind
Do you think of me?
You might also like
These days have been tragic
I ain't sleeping
Refuse to eat a thing
I can't tell you what happened
I ain't sleeping
I ain't eating

Old flame
We were torn apart right by the sleeve, oh, baby
Old flame
We were torn apart right by the sleeve, oh, baby

Little Jackie
When you wake up
Do you think of me?
I said hey, Jackie, baby
Ooh5Embed",2021,hey little jackie wake think said hey jackie baby rest mind think days tragic aint sleeping refuse eat thing cant tell happened aint sleeping aint eating old flame torn apart right sleeve oh baby old flame torn apart right sleeve oh baby said hey little jackie wake think said hey jackie baby rest mind think might also like days tragic aint sleeping refuse eat thing cant tell happened aint sleeping aint eating old flame torn apart right sleeve oh baby old flame torn apart right sleeve oh baby little jackie wake think said hey jackie baby ooh,0,negative,0.129,0.813,0.058,-0.7733, en,97,31,31.958762886597935,1,1,0,0,0
Lana Del Rey,5936457,White Dress,https://genius.com/Lana-del-rey-white-dress-lyrics,"131 ContributorsTranslationsItalianoPolskiTürkçeTürkçeСрпскиEspañolРусскийPortuguês日本語ΕλληνικάDeutschFrançaisWhite Dress Lyrics
Sun stare, don't care with my head in my hands
Thinking of a simpler time
Like Sun Ra, feel small
But I had it under control every time

When I was a waitress wearing a white dress
Look how I do this, look how I got this
I was a waitress working the night shift
You were my man, felt like I got this
Down at the Men in Music Business Conference
Down in Orlando, I was only nineteen
Down at the Men in Music Business Conference
I only mention it 'cause it was such a scene
And I felt seen
Mm-mm-mm-mm-mm

Summer, sizzling
Listening to jazz out on the lawn
Listеning to White Stripes when thеy were white-hot
Listening to rock all day long

When I was a waitress wearing a tight dress handling the heat
I wasn't famous, just listening to Kings of Leon to the beat
Like look at how I got this, look how I got this
Just singing the street
Down at the Men in Music Business Conference
I felt free 'cause I was only nineteen
Such a scene
See Lana Del Rey LiveGet tickets as low as $736You might also like
Summer, summer's almost gone
We were talking about life, we were sitting outside 'til dawn
But I would still go back
If I could do it all again, I thought
Because it made me feel, made me feel like a god
'Cause it made me feel, made me feel like a god
Somehow it made me feel, made me feel like a god

When I was a waitress wearing a white dress
Look how I do this, look how I got this
When I was a waitress working the night shift
You were my man, felt like I got this
Down at the Men in Music Business Conference
Down in Orlando, I was only nineteen
Down at the Men in Music Business Conference
I only mention it 'cause it was such a scene
And I felt seen
Mm-mm-mm-mm-mm

When I was a waitress wearing a tight dress
Like, look how I do it, look how I got this
I was a waitress wearing a tight dress
Like, look how I do this, look how I got this
It made me feel, made me feel like a god
It kinda makes me feel, like maybe I was better off
'Cause it made me feel, made me feel like a god
It kinda makes me feel, like maybe I was better off57Embed",2021,sun stare dont care head hands thinking simpler time like sun ra feel small control every time waitress wearing white dress look look got waitress working night shift man felt like got men music business conference orlando nineteen men music business conference mention cause scene felt seen mmmmmmmmmm summer sizzling listening jazz lawn listеning white stripes thеy whitehot listening rock day long waitress wearing tight dress handling heat wasnt famous listening kings leon beat like look got look got singing street men music business conference felt free cause nineteen scene see lana del rey liveget tickets low might also like summer summers almost gone talking life sitting outside til dawn would still go back could thought made feel made feel like god cause made feel made feel like god somehow made feel made feel like god waitress wearing white dress look look got waitress working night shift man felt like got men music business conference orlando nineteen men music business conference mention cause scene felt seen mmmmmmmmmm waitress wearing tight dress like look look got waitress wearing tight dress like look look got made feel made feel like god kinda makes feel like maybe better cause made feel made feel like god kinda makes feel like maybe better,1,positive,0.019,0.756,0.224,0.9917, en,208,91,43.75,0,0,1,0,0
Dry Cleaning,6189319,Scratchcard Lanyard,https://genius.com/Dry-cleaning-scratchcard-lanyard-lyrics,"21 ContributorsScratchcard Lanyard Lyrics
Many years have passed but you're still charming
Rows falling and exploding, you can't save the world on your own I guess
Don't send me it
You keep it
You keep it
You keep it

Weak arms can't open the door, kung fu cancel
It'll be okay, I just need to be weird and hide for a bit and eat an old sandwich from my bag

I've come here to make a ceramic shoe
And I've come to smash what you made
I've come to learn how to mingle
I've come to learn how to dance
I've come to join the knitting circle
I've come to hand weave my own bunk bed ladder in a few short sessions

It's a Tokyo bouncy ball
It's an Oslo bouncy ball
It's a Rio de Janeiro bouncy ball filter!
I love these Mighty Oaks, don't you?
Do everything and feel nothing
Wristband themepark, scratchcard lanyard
Do everything and feel nothing
Do everything and feel nothing
You might also like
Pat Dad on the head
Alright, you big loud mouth
And thanks very much for the Twix
I think of myself as a hardy banana with that waxy surface and the small delicate flowers
A woman in aviators firing a bazooka
A woman in aviators firing a bazooka

I've come here to make a ceramic shoe
And I've come to smash what you made
I've come to learn how to mingle
I've come to learn how to dance
I've come to join the knitting circle
That's just child chat
Why don't you want oven chips now?

It's a Tokyo bouncy ball
It's an Oslo bouncy ball
It's a Rio de Janeiro bouncy ball filter!
I love these Mighty Oaks, don't you?
Do everything and feel nothing
Wristband themepark, scratchcard lanyard
Do everything and feel nothing
Do everything and feel nothing
You seem really together, you've got a new coat, new hair
Well, I'll tell you one thing, you've got it coming
One day you're gonna get it
(Huh)2Embed",2021,many years passed youre still charming rows falling exploding cant save world guess dont send keep keep keep weak arms cant open door kung fu cancel itll okay need weird hide bit eat old sandwich bag ive come make ceramic shoe ive come smash made ive come learn mingle ive come learn dance ive come join knitting circle ive come hand weave bunk bed ladder short sessions tokyo bouncy ball oslo bouncy ball rio de janeiro bouncy ball filter love mighty oaks dont everything feel nothing wristband themepark scratchcard lanyard everything feel nothing everything feel nothing might also like pat dad head alright big loud mouth thanks much twix think hardy banana waxy surface small delicate flowers woman aviators firing bazooka woman aviators firing bazooka ive come make ceramic shoe ive come smash made ive come learn mingle ive come learn dance ive come join knitting circle thats child chat dont want oven chips tokyo bouncy ball oslo bouncy ball rio de janeiro bouncy ball filter love mighty oaks dont everything feel nothing wristband themepark scratchcard lanyard everything feel nothing everything feel nothing seem really together youve got new coat new hair well ill tell one thing youve got coming one day youre gonna get huh,1,positive,0.116,0.75,0.134,0.7536, en,206,120,58.252427184466015,1,1,1,0,0
Teejayx6,4695779,Dark Web,https://genius.com/Teejayx6-dark-web-lyrics,"49 ContributorsDark Web Lyrics
Damjonboi
Bitch

The government tried to ban me from the dark web (Tried to ban me)
I downloaded Tor Browser, then got back in (Back in)
Went and got a VPN, just bought another BIN
I'ma keep searching these bitches on my 'site 'til I can slide a Benz (Keep searching)
This shit illegal, but it's green, I gotta get it in (Go get rich)
I paid five thousand for my 'fit, I'm not fitting in (Five racks)
If the bitch got dirty shoes, she not getting in (Get the fuck out)
Bro can't move around with no straps, his case is still on pend' (He can't)

Bitch, you can call me anything but broke, that's something I've never been (Don't call me that)
I'm 'bout to take your bitch to somewhere she ain't never been (Come on)
You need to stop claiming a hood that you ain't never in (Stop claimin' that)
Niggas love running off with money, so I never lend
The hoes never ask you for no money 'cause you always spend (They don't)
The hoes never ask you for no money, you be bullshitting (You be on bullshit)
You can ask your bitch about me, I'm a bull in it (Ask about me)
I just bought a piece for fifty dollars and got the fullz with it (This bitch fire)
I'm 'bout to buy SRT and do the fool in it (The whole dash)
I'm tryna do two hundred up the freeway, I ain't got my permit (I ain't got it)
I just bought some opp pack, got a 'Wood, and burned it
I feel like Chief Sosa, I can spend this money 'cause I earned it ('Cause I earned it)
At first I ain't know how to swipe, I took my time and learned it (I did)
Your bitch was throwing the pussy at me, but I had to curve it
I made my first ten thousand, took that and turned it (10K)
One day my bitch got mad at me, took my clothes and burned 'em (My bitch)
You might also like
The government tried to ban me from the dark web (Dark web)
I downloaded Tor Browser, then got back in
Went and got a VPN, just bought another BIN
I'ma keep searching these bitches on my 'site 'til I can slide a Benz (Slide a Benz)
This shit illegal, but it's green, I gotta get it in
I paid five thousand for my 'fit, I'm not fitting in (Five racks)
If the bitch got dirty shoes, she not getting in (Hell nah)
Bro can't move around with no straps, his case is still on pend' (Hell nah)

I should've got a gold medal, the way I shoot my gun
If you see me on the scene while I'm shooting, you better duck and run (You better run)
Sliding on niggas and shooting houses, I do this shit for fun
Every time I get another death threat, I buy another gun
I'm still doing credit card fraud, I'm on the same run (Same shit)
I'll pop you and your mans with the same gun (Both of y'all)
My bitch keep telling Instagram we broke up, but we ain't done (Stop playin')
You tryna copy everything I do, must wanna be my son (Boy)6Embed",2019,damjonboi bitch government tried ban dark web tried ban downloaded tor browser got back back went got vpn bought another bin ima keep searching bitches site til slide benz keep searching shit illegal green gotta get go get rich paid five thousand fit im fitting five racks bitch got dirty shoes getting get fuck bro cant move around straps case still pend cant bitch call anything broke thats something ive never dont call im bout take bitch somewhere aint never come need stop claiming hood aint never stop claimin niggas love running money never lend hoes never ask money cause always spend dont hoes never ask money bullshitting bullshit ask bitch im bull ask bought piece fifty dollars got fullz bitch fire im bout buy srt fool whole dash im tryna two hundred freeway aint got permit aint got bought opp pack got wood burned feel like chief sosa spend money cause earned cause earned first aint know swipe took time learned bitch throwing pussy curve made first ten thousand took turned k one day bitch got mad took clothes burned em bitch might also like government tried ban dark web dark web downloaded tor browser got back went got vpn bought another bin ima keep searching bitches site til slide benz slide benz shit illegal green gotta get paid five thousand fit im fitting five racks bitch got dirty shoes getting hell nah bro cant move around straps case still pend hell nah shouldve got gold medal way shoot gun see scene im shooting better duck run better run sliding niggas shooting houses shit fun every time get another death threat buy another gun im still credit card fraud im run shit ill pop mans gun yall bitch keep telling instagram broke aint done stop playin tryna copy everything must wanna son boy,0,negative,0.336,0.563,0.101,-0.9987, en,304,163,53.61842105263158,1,1,1,0,19
Sharon Van Etten,7876198,Anything,https://genius.com/Sharon-van-etten-anything-lyrics,"6 ContributorsAnything LyricsUp the whole night, undefined
Can't stop thinking about peace and war
Up the whole night, right before
The sun takes everything
It could've been anything
I didn't feel anything
Up the whole night, underline
Chain-smoking, like, no, it ain't right
Afternoon beer? Understate
It could've been anything
It could've been anything
I didn't feel anything
You love him by the stove light in your arms
He is there because he can't stand the sad eyes
I couldn't feel anything
I couldn't feel anything
I couldn't feel anything
I couldn't feel anything
I couldn't feel anythingSee Sharon Van Etten LiveGet tickets as low as $60You might also likeEmbed",2022,whole night undefined cant stop thinking peace war whole night right sun takes everything couldve anything didnt feel anything whole night underline chainsmoking like aint right afternoon beer understate couldve anything couldve anything didnt feel anything love stove light arms cant stand sad eyes couldnt feel anything couldnt feel anything couldnt feel anything couldnt feel anything couldnt feel anythingsee sharon van etten liveget tickets low might also like,0,negative,0.15,0.735,0.116,-0.5826, en,68,40,58.82352941176471,1,1,1,1,0
Cate Le Bon,4407754,Daylight Matters,https://genius.com/Cate-le-bon-daylight-matters-lyrics,"2 ContributorsDaylight Matters Lyrics
Wide of the line in occasional bloom
Still ahead of the night
Still never not there
And I'm never gonna be there again
Promises speak in
Confusion and dice
A day in the life
Arranging the chairs
And I'm never gonna live it again

Love you, I love you, I love you, I love you
But you're not here
Love you, I love you, I love you, I love you
But you've gone

Why do they stick when your lips read like stone?
Mouthing the lines, returning the air
And I'm never gonna feel them again

Love you, I love you, I love you, I love you
But you're not here
Love you, I love you, I love you, I love you
But you've gone
You might also like
If I'm never gonna see it again
It's too late now
Your money's lent
Dreams I've had and never shared
Sacrificed the daylight matters
Ooh, la, ah
Come on, come on, come on, come on, come on
Come on, come on, come on, come on, come on
Come on, come on, come on, come on, come on
Come on, come on, come on, come on, come on

Love you, I love you, I love you, I love you
But you're not here
Love you, I love you, I love you, I love you
But you've gone2Embed",2019,wide line occasional bloom still ahead night still never im never gonna promises speak confusion dice day life arranging chairs im never gonna live love love love love youre love love love love youve gone stick lips read like stone mouthing lines returning air im never gonna feel love love love love youre love love love love youve gone might also like im never gonna see late moneys lent dreams ive never shared sacrificed daylight matters ooh la ah come come come come come come come come come come come come come come come come come come come come love love love love youre love love love love youve gone,0,negative,0.498,0.451,0.05,-0.9976, en,110,49,44.54545454545455,1,1,1,0,0
Arca,4801758,Mequetrefe,https://genius.com/Arca-mequetrefe-lyrics,"28 ContributorsTranslationsEnglishMequetrefe Lyrics

Ah

Mami quiere mequetrefe
Ella se lo merece
Mira cómo se crece
Ella vino caminando desde su casa (Ah)
Ella no toma taxi
Que la vean, que la vean en la calle
Ella no toma taxi, ni Uber ni Lyft
Que la vean, ah

Mami quiere mequetrefe
Mira cómo ella se crece, ah (Ah)
¿Y sabes qué, qué?

Tiene la personalidad
Le da, le da, le da, le da
Le da, le da, le da
Igualito, mira su pasito
Le da, le da, le da igual
Que le da igualito, mira su pasito
Que le da igualito, mira su pasito
Que le da igualito, que le da igualito
Que le da igualito, que le da igualito, que le da igua-
You might also like
Igualito, igualito, igua-, igua-, igualito
Igua-, igualito, igua-, igua-, igualito
Igua-, igualito, igua-, igua-, igualito
Igualito, igua-, igua-, igualito
Igua-, igualito, igua-, igua-, igualito
Iguali-, igua-, igua-, igualito

¿Y sabes qué, qué?
Tiene la personalidad
Le da, le da, le da, le da
Le da, le da, le da
Igualito, mira su pasito
Le da igualito, mira su pasito
Que le da igualito, mira su pasito
Que le da igualito, mira su pasito
Que le da igualito, que le da igualito
Que le da igualito, que le da igualito

Que le da igua-, igualito
Iguali-, igua-, igua-
Igua-, igualito9Embed",2020,ah mami quiere mequetrefe ella se lo merece mira cómo se crece ella vino caminando desde su casa ah ella toma taxi que la vean que la vean en la calle ella toma taxi ni uber ni lyft que la vean ah mami quiere mequetrefe mira cómo ella se crece ah ah sabes qué qué tiene la personalidad le da le da le da le da le da le da le da igualito mira su pasito le da le da le da igual que le da igualito mira su pasito que le da igualito mira su pasito que le da igualito que le da igualito que le da igualito que le da igualito que le da igua might also like igualito igualito igua igua igualito igua igualito igua igua igualito igua igualito igua igua igualito igualito igua igua igualito igua igualito igua igua igualito iguali igua igua igualito sabes qué qué tiene la personalidad le da le da le da le da le da le da le da igualito mira su pasito le da igualito mira su pasito que le da igualito mira su pasito que le da igualito mira su pasito que le da igualito que le da igualito que le da igualito que le da igualito que le da igua igualito iguali igua igua igua igualito,1,positive,0.0,0.989,0.011,0.3612, it es,218,40,18.34862385321101,0,0,0,0,0
Sky Ferreira,4214538,Downhill Lullaby,https://genius.com/Sky-ferreira-downhill-lullaby-lyrics,"37 ContributorsDownhill Lullaby Lyrics
You leave me open when you hit me
No one can hear me, then you hurt me
To say that you're not going down there, too
I can see that you want me going downhill, too

Going downhill into a lullaby
Downhill into a lullaby
Downhill into a lullaby

You ripped me open, then you kissed me
Blue lips and roses that you left me
The gag and the bind, the perfecting of the ruse
Yeah, I walked with the fire
All the lifeblood and desire
Slowly stifled by somber fumes
I adore the bludgeoned affection
Come and teach me a lesson
All the things I offer you

Going downhill into a lullaby
Downhill into a lullaby
Downhill into a lullaby
You might also like
You leave me open when you hit me
No one can heal me
No one can heal me
No one can heal me
When you hurt me
You can say what you want
You can claim that you're not
You can say what you want
You can say what you want
Going downhill into a lullaby
Downhill into a lullaby
Downhill into a lullaby
Downhill into a lullaby
Going downhill into a lullaby
Downhill into a lullaby
Downhill into a lullaby
Downhill into a lullaby10Embed",2019,leave open hit one hear hurt say youre going see want going downhill going downhill lullaby downhill lullaby downhill lullaby ripped open kissed blue lips roses left gag bind perfecting ruse yeah walked fire lifeblood desire slowly stifled somber fumes adore bludgeoned affection come teach lesson things offer going downhill lullaby downhill lullaby downhill lullaby might also like leave open hit one heal one heal one heal hurt say want claim youre say want say want going downhill lullaby downhill lullaby downhill lullaby downhill lullaby going downhill lullaby downhill lullaby downhill lullaby downhill lullaby,1,positive,0.169,0.618,0.213,0.6369, en,94,45,47.87234042553192,1,1,1,0,0
FKA twigs,4547300,​sad day,https://genius.com/Fka-twigs-sad-day-lyrics,"55 ContributorsTranslationsPortuguêsItalianoEspañol​sad day Lyrics
Every time you look outside your window
Everything is just the same as before
You are turning 'round and 'round
You see, it's a sad day for sure

Taste the fruit of me
Make love to all you see

Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?

Take a chance on all the things you can't see
Make a wish on all that lives within thee
If you're foolishly in love with me
It's a fine day for sure

Taste the fruit of me
Make love to all you see
See FKA twigs LiveGet tickets as low as $867You might also like
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?

You're running
And I tried to make it work before
You're running
I made you sad before
I, then I
Have you ever made a wish before?
I see you running
I made you sad before

I can imagine a world when my arms are embraced around you
I lie naked and pure with intentions to cleanse you and take you
The city howls with a cry to seduce you and claim you
So it's time
And it's a sad day for sure

Would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
Ah, would you make a, make a, make a wish on my love?
You're running
And I try
I made you sad before
And you're running
Have you ever made a wish before?24Embed",2019,every time look outside window everything turning round round see sad day sure taste fruit make love see ah would make make make wish love ah would make make make wish love ah would make make make wish love ah would make make make wish love take chance things cant see make wish lives within thee youre foolishly love fine day sure taste fruit make love see see fka twigs liveget tickets low might also like ah would make make make wish love ah would make make make wish love ah would make make make wish love ah would make make make wish love youre running tried make work youre running made sad ever made wish see running made sad imagine world arms embraced around lie naked pure intentions cleanse take city howls cry seduce claim time sad day sure would make make make wish love ah would make make make wish love ah would make make make wish love ah would make make make wish love youre running try made sad youre running ever made wish,1,positive,0.086,0.487,0.427,0.9982, en,177,58,32.7683615819209,1,1,1,0,0
Jessy Lanza,5280729,Lick in Heaven,https://genius.com/Jessy-lanza-lick-in-heaven-lyrics,"4 ContributorsLick in Heaven Lyrics
I can't hide it
The jam is sober, don’t know what to do
Did you notice
That it goes so easily?
I can't help but over-react when I'm excited
He might try to pull me down
I slide away, moving on again

Once I’m spinning
I can't stop spinning, can't stop spinning
Once I'm spinning
I can't stop spinning, I can't stop spinning

I can't predict it
I'm gonna act out instead of look cute
I keep focus
On myself like anything
Oh!
Feeling like I’m going off-track
A sweet sighing
You don’t have to come around
I take it back, tears'll fall again
Oh yeah!
You might also like
Once I’m spinning
I can't stop spinning, can't stop spinning (I'm going all the way)
Once I’m spinning
I can't stop spinning, I can't stop spinning (I'm going all the way)
Yeah!
Oh yeah!
Yeah!
Oh yeah!

Oh yeah! (Upset)
Once I'm spinning (It's finally over)
Spinning spinning
Spinning spinning (I'm pushing all the way)
Spinning spinning
Once I'm spinning (It's finally over)
Spinning spinning
Spinning spinning (I'm pushing all the way)
Spinning spinning
Once I'm spinning (It's finally over)
Spinning spinning
Spinning spinning (I'm pushing all the way)
Spinning spinning (Spinning spinning)

Once I'm spinning
I can't stop spinning, (I can't) can't stop spinning
(I'm going all the way)
Once I'm spinning
I can't stop spinning
(I can't) I can't stop spinning
Yeah
I, I, (I can't)
Oh yeah!
I, I, (I can't)
(Oh yeah!)Embed",2020,cant hide jam sober know notice goes easily cant help overreact im excited might try pull slide away moving spinning cant stop spinning cant stop spinning im spinning cant stop spinning cant stop spinning cant predict im gonna act instead look cute keep focus like anything oh feeling like going offtrack sweet sighing come around take back tearsll fall oh yeah might also like spinning cant stop spinning cant stop spinning im going way spinning cant stop spinning cant stop spinning im going way yeah oh yeah yeah oh yeah oh yeah upset im spinning finally spinning spinning spinning spinning im pushing way spinning spinning im spinning finally spinning spinning spinning spinning im pushing way spinning spinning im spinning finally spinning spinning spinning spinning im pushing way spinning spinning spinning spinning im spinning cant stop spinning cant cant stop spinning im going way im spinning cant stop spinning cant cant stop spinning yeah cant oh yeah cant oh yeah,1,positive,0.025,0.642,0.334,0.9926, en,159,48,30.18867924528302,0,0,0,0,0
Ela Minus & DJ Python,8638382,Pájaros en Verano,https://genius.com/Ela-minus-and-dj-python-pajaros-en-verano-lyrics,"3 ContributorsPájaros en Verano LyricsClouds
Food
Sleep
Books
You
After all the days that never happened
And the nights that didn't exist, didn't exist
All the days that never happened
And the nights that didn't exist
There's no excuse cause there's no food
And I can't seem to get out of this loop
Air
Rest
Quietness
Light
Pecks
Softer
After all the days that never happened
And the nights that didn't exist, didn't exist
All the days that never happened
And the nights that didn't exist
You might also likeI can't complain cause I got you
Now I don't want to live a life without you
Awe
Home
Truck
Crickets
Trees
A view
Of you
Of you
Of you
Of you
Of you
Of you
And me
All the days that never happened
And the nights that didn't exist, didn't exist
All the days that never happened
And the nights that didn't exist, didn't exist
All the days that never happened
And the nights that didn't exist
Home
Trucks
Crickets
Trees
You
You
YouEmbed",2022,clouds food sleep books days never happened nights didnt exist didnt exist days never happened nights didnt exist theres excuse cause theres food cant seem get loop air rest quietness light pecks softer days never happened nights didnt exist didnt exist days never happened nights didnt exist might also likei cant complain cause got dont want live life without awe home truck crickets trees view days never happened nights didnt exist didnt exist days never happened nights didnt exist didnt exist days never happened nights didnt exist home trucks crickets trees,1,positive,0.026,0.951,0.023,0.1695, en,91,40,43.956043956043956,0,0,0,0,0
Moses Sumney,5023364,Cut Me,https://genius.com/Moses-sumney-cut-me-lyrics,"15 ContributorsCut Me Lyrics
When I'm weary and so worn out
Ooh, when my mind's clouded and filled with doubt
That's when I feel the most alive
Masochistic kisses are how I thrive
(Thrive, thrive, thrive, thrive, thrive, thrive, thrive)
Hmm (Hmm)

A stiffness inside my neck, and
Bangin' my head against the desk (Woah)
If there's no pain, is there any progress?
That's when I feel, yeah, the most alive, woah
Endurance is the source of my pride (Source of my pride)

Might not be healthy for me, but seemingly I need (Uh, hmm, hmm)
What cuts me, cuts me, cuts me, cut me, cut me, cut me

Uh
Guess I'm a true immigrant son
No vacancies, no vacations
Sure, I could do better than this
But I don't (I don't), I won't (I don't), I don't
No, I don't
You might also like
Uh, might not be healthy for me but seemingly I need (No, mm)
Uh, what cuts me, cuts me, cuts me, cut me, cut me, cut me

Ooh-ooh-oh
(Might not be healthy for me but seemingly I need)
Ooh-ooh-oh
(What cuts me, cuts me, cuts me, cut me, cut me, cut me)
Hurt me, hurt me
Me
Hurt me, hurt me4Embed",2020,im weary worn ooh minds clouded filled doubt thats feel alive masochistic kisses thrive thrive thrive thrive thrive thrive thrive thrive hmm hmm stiffness inside neck bangin head desk woah theres pain progress thats feel yeah alive woah endurance source pride source pride might healthy seemingly need uh hmm hmm cuts cuts cuts cut cut cut uh guess im true immigrant son vacancies vacations sure could better dont dont wont dont dont dont might also like uh might healthy seemingly need mm uh cuts cuts cuts cut cut cut oohoohoh might healthy seemingly need oohoohoh cuts cuts cuts cut cut cut hurt hurt hurt hurt,0,negative,0.414,0.379,0.207,-0.9788, en,105,52,49.523809523809526,1,1,1,0,0
